affaiblir	VERinf	afoyblir
affaibloyer	VERppe	afebloiez|afoibloiee
affaibloyer	VERinf	afebloier
affaibloyer	VERcjg	afebloient|afobloiéz|afoibloia
affaibloyer	VERppa	afloibloiant
affaire	NOMcom	afaire|afaires|afeire|afeires|afere|aferes|affaire|affaires|affere|afferes
affaitement	NOMcom	afaitemant|afeitemant
affaiter	VERcjg	afaitad|afaitent|afaiterent|afeite
affaiter	VERppe	afaite|afeitiee|afeitiez|afeitié|affaitié
affamer	VERppe	afamez|affamé
affamer	VERinf	afamer
affecter	VERppe	affectee
affection	NOMcom	afection|affection|affections
affectueusement	ADVgen	affectueusement
afferir	VERcjg	affiert
afférir	VERcjg	affierent|affiert|afierent|afiert
afférir	VERppa	affreant
afferme	VERinf	afermer
affermer	VERppe	afermee|afermet|afermé|afermét|affermez|affermé|affermées
affermer	VERcjg	afermast|aferme|afermoient|afferma|afferme|affermerent|affermes|affermet|affermoies|affermoit
affermer	VERinf	afermer|affermer
affichément	ADVgen	aficheement
afficher	VERcjg	afiche|afichent
afficher	VERppe	affichie|afichee|afichet|afichiez|afichiéz
afficher	VERinf	afichier
affier	VERcjg	affie|afi|afia|afie|afiés|afïent
affier	VERppe	afiee|afié
affin	ADVgen	affin
affiner	VERppe	afinee|afinees|afinet|afiné
affiner	VERcjg	afine
affliction	NOMcom	affliction|afflictions|afflictïun|afflictïuns
affliger	VERinf	affliger
afflire	VERppe	afflicz|afflit|affliz
afflire	VERcjg	afflioit
afflire	VERinf	afflire
affoler	VERcjg	afole|afolent|afoloit|afolt|afost
affoler	VERppe	affollé|afolee|afolez|afolé|afolés
affoler	VERinf	afoler
affolure	NOMcom	affoleure
affonder	VERcjg	afonde
affourcher	VERcjg	aforkent
affubler	VERppe	afublee|afublees|afublez|afublé|afulés
affubler	VERcjg	afubla|afuble|afublent|afublerent|afublez
affubler	VERinf	afubler
affuir	VERcjg	afoï
affuir	VERinf	afoïr
afiancer	VERinf	afïancer
afieffer	VERinf	affever
afiler	VERcjg	afilet
afin	ADVgen	adfin|affin|afin
afit	NOMcom	afit|afiz
afiter	VERppa	afeitant
afreiner	VERcjg	afreinne
Africain	NOMpro	affrican|alfricans
africain	NOMpro	affricain
africain	NOMcom	affrican|auffricain
Afrique	NOMpro	affrike|alfrike|auffricque|auffrique|aufrique
Agapet	NOMpro	agapion
Agapit	NOMpro	agapitus
