beau	Adj	bale|beal|beals|beau|beauls|beaulx|beaulz|beaus|beaux|beaz|beel|beil|bel|bele|beles|belle|belles|bels|belz|beu|beus|bialz|biau|biaulz|biaus|biaux|biauz|biax|biel|biele|tresbelle
corps	N	corps|corpz|cors|cort
taille	N	taille|tailles
ensemble	Adv	ansembl'|ansemble|emsembl'|emsemble|ensamble|ensanle|ensembl'|ensemble|ensems|ensenble|enssamble
si	Adv	c|ci|s|s'|se|si|si'|sy
vouloir	Vfin	vauc|vaura|vaurai|vaurent|vauroie|vauroies|vaurrai|vaurroit|vaut|veil|veill|veilliéz|veloit|vels|velt|veuil|veul|veuldront|veulent|veull|veulle|veullent|veulliez|veult|veulx|veus|veust|veut|veux|vialt|viaus|vielt|vieut|vieuz|vodra|vodrai|vodraient|vodrait|vodree|vodreie|vodrent|vodrez|vodroit|vodront|voeil|voeill|voeille|voeillet|voeilliés|voel|voelent|voelle|voellent|voelliés|voels|voelt|voet|voeul|voil|voile|voilez|voille|voillent|voillez|voilliez|voillons|voillum|voillét|vol|voldra|voldrai|voldras|voldrat|voldreit|voldrent|voldret|voldroie|voldroit|voldrum|voleie|voleient|voleit|volent|volez|voliez|volisse|voliét|volloient|volloit|voloie|voloient|voloies|voloit|volommes|volons|volot|volrent|volroie|volroient|volrés|vols|volsissent|volsist|volst|volt|voltrent|volum|voluns|volunt|volés|vora|vorai|vorent|voroit|voront|vorra|vorrai|vorray|vorrent|vorriemes|vorroie|vorroit|vos|vosist|vossistes|vost|vot|voudra|voudrai|voudray|voudrent|voudriiez|voudroie|voudroit|voudront|voudré|vouldra|vouldray|vouldrent|vouldriez|vouldriés|vouldroict|vouldroie|vouldroit|vouldront|vouldroye|vouldrés|voulent|voulez|voulions|voullez|voulloient|voulloit|vouloie|vouloient|vouloies|vouloit|voulons|vouloye|voulsisse|voulsissent|voulsist|voult|voulut|voulés|vouléz|vouoit|voura|vouray|vouroie|vourra|vourroie|vousisse|vousissent|vousissez|vousist|vousistes|vousit|vousitez|voussisse|voussissent|vout|vudra|vueil|vueill|vueille|vueillent|vueillez|vueilliez|vueillés|vuel|vuelent|vuellent|vuelt|vuet|vueulent|vueut|vuez|vuil|vuille|vuilliez|vuillisse|vul|vuldras|vulent|vult|vvel|weil|weille|wel|welent|wels|welt|weult
je	Prn	eu|g|g'|ge|gié|go|i|j|j'|je|jeo|jo|jou|ju|jó|ye
en	Prn	am|an|em|en|ent|in|n
tailler	Vfin	taille|talia
court	Adj	cort|court|courtes|curte
long	Adj	lon|lonc|long|longe|longs|longue|longues|lons|lont|lonx|luncs|lung
mais	Crd	mai|mais|maiz|mas|meis|men|mes|mez|mès|més
ne	Neg	n|n'|na|ne|nem|nen|no|no'|nom|non|nun
voir	Vfin	vairais|vairat|vaoient|vaons|vedes|vedez|veeiz|veez|vei|veient|veiez|veis|veisce|veismes|veisse|veissez|veissiez|veissiés|veist|veistes|veit|veiz|veoie|veoient|veoit|veoye|veoyt|verai|verra|verrai|verras|verrat|verray|verreie|verreit|verrez|verriés|verroie|verroit|verroiz|verrons|verront|verrooient|verrunt|verrés|verréz|ves|vetdest|vetheit|vetran|veum|vey|vez|veés|veïs|veïssent|veïssiez|veïst|veÿ|vi|vid|vidist|vidra|vidren|vidrent|vidrä|vire|virent|vis|vist|vit|viz|voi|voie|voient|voiez|voiiés|vois|voit|voiz|voiéz|voy|voye|voyez|voys|voyés|vy|vé|véisses|véoit|véoye|vés|véz|vééz|vëoit
